# This text file represents an airfoil's polar(s) (coefficients) that can be imported into Ashes.
# One or more polars can be imported. Each polar is given for a particular Reynolds number (Re).
# Thus, polars for more than one Reynolds numbers can be given in this file.

# Formatting rules (conventions): 
#  - the keyword 'Airfoil name' must be found in the file and the airfoil name must be given 
# on the line immediately after the line with (only) the keyword (except for comment lines).
#  - the airfoil database cannot already have an airfoil with this name (the comparison is made not considering case nor whitespace).
#  - if the name is already found in the airfoil database, an error message will be given and the file is not imported.
#  - the keyword 'Re and corresponding polar' must preceed each Reynolds number and corresponding polar data set.
#  - the first (non-comment) line after the keyword must contain only the Reynolds number.
#  - each preceding line must contain (and in this order) the angle of attack (AoA) in degrees, the lift coefficient,
# the drag coefficient, and finally the moment coefficient.
#  - the moment coefficient is referenced to the quarter chord point (as per convention).
#  - the angle of attack (AoA) must be strictly increasing.
#  - the coefficients cannot be negative and must be smaller than 5 (in order to catch typos).
#  - blank lines between the keyword and the data is NOT allowed nor are blank lines within the 'block of data.
#  - a polar for a Reynolds number can only be given once.
#  - if the Reynolds number corresponding to a polar is unknown, 0 or a negative number is given.
#  - if there is a polar with an unknown Reynolds number, then there can be no other polar in the file.

Airfoil name
NREL's S808 Airfoil

Re and corresponding polar
# Reynolds number (-)
1.000E+03
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
    -2.00 	   0.030 	  0.1569 	 -0.0174
    -1.80 	   0.030 	  0.1567 	 -0.0164
    -1.60 	   0.030 	  0.1564 	 -0.0154
    -1.40 	   0.030 	  0.1561 	 -0.0143
    -1.20 	   0.029 	  0.1559 	 -0.0133
    -1.00 	   0.029 	  0.1557 	 -0.0122
    -0.80 	   0.028 	  0.1554 	 -0.0111
    -0.60 	   0.027 	  0.1552 	 -0.0100
    -0.40 	   0.025 	  0.1549 	 -0.0089
    -0.20 	   0.024 	  0.1547 	 -0.0077
    -0.00 	   0.022 	  0.1545 	 -0.0066
     0.20 	   0.020 	  0.1542 	 -0.0054
     0.40 	   0.018 	  0.1540 	 -0.0042
     0.60 	   0.016 	  0.1538 	 -0.0030
     0.80 	   0.014 	  0.1535 	 -0.0018
     1.00 	   0.011 	  0.1533 	 -0.0006
     1.20 	   0.009 	  0.1531 	  0.0006
     1.40 	   0.006 	  0.1528 	  0.0018
     1.60 	   0.004 	  0.1526 	  0.0030
     1.80 	   0.001 	  0.1524 	  0.0042
     2.00 	  -0.001 	  0.1521 	  0.0053
     2.20 	  -0.004 	  0.1519 	  0.0065
     2.40 	  -0.006 	  0.1516 	  0.0076
     2.60 	  -0.009 	  0.1514 	  0.0088
     2.80 	  -0.011 	  0.1512 	  0.0098
     3.00 	  -0.013 	  0.1510 	  0.0109
     3.20 	  -0.015 	  0.1508 	  0.0118
     3.40 	  -0.016 	  0.1507 	  0.0127
     3.60 	  -0.016 	  0.1506 	  0.0135
     3.80 	  -0.017 	  0.1505 	  0.0143

Re and corresponding polar
# Reynolds number (-)
5.000E+03
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
   -20.00 	  -0.454 	  0.2261 	  0.0130
   -19.80 	  -0.440 	  0.2232 	  0.0102
   -19.60 	  -0.419 	  0.2157 	  0.0058
   -19.40 	  -0.395 	  0.2070 	  0.0002
   -19.20 	  -0.378 	  0.2003 	 -0.0038
   -19.00 	  -0.371 	  0.1984 	 -0.0050
   -18.80 	  -0.363 	  0.1964 	 -0.0061
   -18.60 	  -0.356 	  0.1945 	 -0.0073
   -18.40 	  -0.349 	  0.1926 	 -0.0084
   -18.20 	  -0.342 	  0.1907 	 -0.0095
   -18.00 	  -0.334 	  0.1888 	 -0.0106
   -17.80 	  -0.327 	  0.1869 	 -0.0117
   -17.60 	  -0.320 	  0.1850 	 -0.0128
   -17.40 	  -0.313 	  0.1832 	 -0.0138
   -17.20 	  -0.305 	  0.1814 	 -0.0148
   -17.00 	  -0.298 	  0.1796 	 -0.0158
   -16.80 	  -0.290 	  0.1778 	 -0.0168
   -16.60 	  -0.283 	  0.1760 	 -0.0178
   -16.40 	  -0.276 	  0.1743 	 -0.0188
   -16.20 	  -0.268 	  0.1725 	 -0.0197
   -16.00 	  -0.261 	  0.1708 	 -0.0206
   -15.80 	  -0.253 	  0.1691 	 -0.0215
   -15.60 	  -0.245 	  0.1674 	 -0.0223
   -15.40 	  -0.238 	  0.1657 	 -0.0232
   -15.20 	  -0.230 	  0.1641 	 -0.0240
   -15.00 	  -0.223 	  0.1624 	 -0.0248
   -14.80 	  -0.215 	  0.1608 	 -0.0256
   -14.60 	  -0.208 	  0.1592 	 -0.0263
   -14.40 	  -0.200 	  0.1576 	 -0.0271
   -14.20 	  -0.193 	  0.1560 	 -0.0278
   -14.00 	  -0.185 	  0.1545 	 -0.0285
   -13.80 	  -0.177 	  0.1530 	 -0.0291
   -13.60 	  -0.170 	  0.1515 	 -0.0298
   -13.40 	  -0.162 	  0.1500 	 -0.0304
   -13.20 	  -0.154 	  0.1485 	 -0.0310
   -13.00 	  -0.147 	  0.1471 	 -0.0315
   -12.80 	  -0.139 	  0.1457 	 -0.0320
   -12.60 	  -0.132 	  0.1443 	 -0.0326
   -12.40 	  -0.124 	  0.1429 	 -0.0330
   -12.20 	  -0.116 	  0.1415 	 -0.0335
   -12.00 	  -0.109 	  0.1402 	 -0.0339
   -11.80 	  -0.101 	  0.1388 	 -0.0343
   -11.60 	  -0.094 	  0.1375 	 -0.0347
   -11.40 	  -0.086 	  0.1362 	 -0.0350
   -11.20 	  -0.079 	  0.1349 	 -0.0354
   -11.00 	  -0.071 	  0.1337 	 -0.0357
   -10.80 	  -0.064 	  0.1325 	 -0.0359
   -10.60 	  -0.056 	  0.1312 	 -0.0362
   -10.40 	  -0.049 	  0.1300 	 -0.0364
   -10.20 	  -0.042 	  0.1289 	 -0.0365
   -10.00 	  -0.035 	  0.1277 	 -0.0367
    -9.80 	  -0.028 	  0.1266 	 -0.0368
    -9.60 	  -0.021 	  0.1255 	 -0.0369
    -9.40 	  -0.014 	  0.1244 	 -0.0369
    -9.20 	  -0.007 	  0.1233 	 -0.0370
    -9.00 	   0.000 	  0.1222 	 -0.0370
    -8.80 	   0.007 	  0.1212 	 -0.0369
    -8.60 	   0.013 	  0.1202 	 -0.0368
    -8.40 	   0.020 	  0.1192 	 -0.0367
    -8.20 	   0.026 	  0.1182 	 -0.0366
    -8.00 	   0.033 	  0.1173 	 -0.0364
    -7.80 	   0.039 	  0.1164 	 -0.0362
    -7.60 	   0.045 	  0.1155 	 -0.0360
    -7.40 	   0.050 	  0.1147 	 -0.0357
    -7.20 	   0.056 	  0.1138 	 -0.0354
    -7.00 	   0.062 	  0.1130 	 -0.0351
    -6.80 	   0.067 	  0.1122 	 -0.0347
    -6.60 	   0.072 	  0.1115 	 -0.0343
    -6.40 	   0.077 	  0.1107 	 -0.0339
    -6.20 	   0.082 	  0.1100 	 -0.0334
    -6.00 	   0.087 	  0.1094 	 -0.0329
    -5.80 	   0.091 	  0.1087 	 -0.0324
    -5.60 	   0.095 	  0.1081 	 -0.0318
    -5.40 	   0.099 	  0.1076 	 -0.0312
    -5.20 	   0.102 	  0.1071 	 -0.0305
    -5.00 	   0.106 	  0.1066 	 -0.0298
    -4.80 	   0.108 	  0.1061 	 -0.0290
    -4.60 	   0.111 	  0.1057 	 -0.0282
    -4.40 	   0.113 	  0.1054 	 -0.0274
    -4.20 	   0.115 	  0.1051 	 -0.0265
    -4.00 	   0.116 	  0.1048 	 -0.0256
    -3.80 	   0.117 	  0.1046 	 -0.0246
    -3.60 	   0.117 	  0.1044 	 -0.0236
    -3.40 	   0.117 	  0.1042 	 -0.0225
    -3.20 	   0.117 	  0.1042 	 -0.0214
    -3.00 	   0.116 	  0.1041 	 -0.0202
    -2.80 	   0.114 	  0.1041 	 -0.0190
    -2.60 	   0.113 	  0.1041 	 -0.0178
    -2.40 	   0.110 	  0.1042 	 -0.0166
    -2.20 	   0.108 	  0.1043 	 -0.0154
    -2.00 	   0.105 	  0.1044 	 -0.0141
    -1.80 	   0.102 	  0.1046 	 -0.0129
    -1.60 	   0.099 	  0.1047 	 -0.0117
    -1.40 	   0.096 	  0.1049 	 -0.0104
    -1.20 	   0.092 	  0.1050 	 -0.0092
    -1.00 	   0.088 	  0.1052 	 -0.0081
    -0.80 	   0.084 	  0.1054 	 -0.0069
    -0.60 	   0.081 	  0.1056 	 -0.0058
    -0.40 	   0.077 	  0.1057 	 -0.0047
    -0.20 	   0.073 	  0.1059 	 -0.0036
    -0.00 	   0.069 	  0.1060 	 -0.0025
     0.20 	   0.064 	  0.1062 	 -0.0015
     0.40 	   0.060 	  0.1063 	 -0.0005
     0.60 	   0.056 	  0.1065 	  0.0005
     0.80 	   0.052 	  0.1066 	  0.0015
     1.00 	   0.048 	  0.1067 	  0.0025
     1.20 	   0.043 	  0.1067 	  0.0034
     1.40 	   0.039 	  0.1068 	  0.0043
     1.60 	   0.035 	  0.1069 	  0.0052
     1.80 	   0.031 	  0.1069 	  0.0061
     2.00 	   0.026 	  0.1069 	  0.0070
     2.20 	   0.022 	  0.1069 	  0.0079
     2.40 	   0.017 	  0.1069 	  0.0088
     2.60 	   0.013 	  0.1068 	  0.0097
     2.80 	   0.008 	  0.1067 	  0.0105
     3.00 	   0.003 	  0.1066 	  0.0114
     3.20 	  -0.001 	  0.1065 	  0.0123
     3.40 	  -0.006 	  0.1063 	  0.0132
     3.60 	  -0.011 	  0.1061 	  0.0140
     3.80 	  -0.016 	  0.1058 	  0.0149
     4.00 	  -0.021 	  0.1055 	  0.0158
     4.20 	  -0.026 	  0.1052 	  0.0167
     4.40 	  -0.032 	  0.1048 	  0.0176
     4.60 	  -0.037 	  0.1044 	  0.0185
     4.80 	  -0.043 	  0.1039 	  0.0194
     5.00 	  -0.048 	  0.1034 	  0.0203
     5.20 	  -0.054 	  0.1028 	  0.0213
     5.40 	  -0.059 	  0.1022 	  0.0222
     5.60 	  -0.065 	  0.1015 	  0.0230
     5.80 	  -0.070 	  0.1008 	  0.0238
     6.00 	  -0.074 	  0.1002 	  0.0245
     6.20 	  -0.077 	  0.0996 	  0.0247
     6.40 	  -0.077 	  0.0993 	  0.0246

Re and corresponding polar
# Reynolds number (-)
1.000E+04
# Corresponding polar
# AoA 	Cl 	Cd 	Cm
# (deg) 	(-) 	(-) 	(-)
   -20.00 	  -0.514 	  0.2357 	  0.0100
   -19.80 	  -0.506 	  0.2331 	  0.0092
